iter	Passed	Remaining
0	4	4418
1	5	2977
2	7	2467
3	8	2205
4	10	2064
5	11	1949
6	13	1873
7	15	1880
8	18	2029
9	19	1967
10	21	1905
11	22	1854
12	23	1816
13	25	1777
14	26	1744
15	27	1715
16	29	1718
17	32	1774
18	33	1751
19	35	1732
20	36	1715
21	38	1701
22	39	1684
23	41	1674
24	42	1675
25	46	1748
26	49	1780
27	51	1799
28	53	1797
29	55	1787
30	57	1807
31	63	1911
32	65	1908
33	66	1894
34	68	1878
35	69	1864
36	71	1854
37	72	1843
38	75	1871
39	77	1861
40	79	1849
41	80	1844
42	82	1833
43	84	1826
44	85	1815
45	87	1804
46	90	1843
47	92	1836
48	94	1830
49	95	1823
50	97	1817
51	99	1807
52	100	1796
53	102	1794
54	104	1789
55	105	1778
56	106	1766
57	108	1754
58	109	1749
59	110	1738
60	112	1727
61	113	1717
62	115	1712
63	117	1721
64	119	1715
65	120	1707
66	122	1702
67	124	1701
68	125	1696
69	127	1691
70	128	1686
71	132	1712
72	134	1707
73	137	1718
74	138	1711
75	140	1706
76	141	1701
77	143	1695
78	147	1714
79	148	1709
80	150	1709
81	152	1705
82	153	1694
83	155	1696
84	157	1693
85	159	1696
86	161	1693
87	163	1689
88	166	1705
89	168	1707
90	170	1706
91	172	1702
92	175	1708
93	177	1707
94	178	1703
95	180	1698
96	181	1693
97	183	1688
98	185	1684
99	188	1698
100	190	1697
101	192	1699
102	194	1695
103	196	1691
104	197	1686
105	199	1681
106	204	1702
107	205	1698
108	207	1693
109	208	1688
110	210	1684
111	211	1677
112	212	1671
113	214	1664
114	215	1660
115	218	1666
116	219	1658
117	221	1652
118	222	1645
119	223	1639
120	224	1633
121	226	1627
122	227	1623
123	229	1618
124	232	1625
125	233	1621
126	234	1613
127	236	1609
128	237	1604
129	239	1599
130	240	1594
131	241	1590
132	243	1585
133	245	1583
134	246	1581
135	248	1577
136	249	1574
137	251	1570
138	252	1566
139	254	1562
140	255	1558
141	256	1552
142	260	1560
143	261	1556
144	263	1553
145	264	1549
146	266	1545
147	268	1542
148	269	1540
149	271	1537
150	275	1546
151	276	1542
152	277	1538
153	279	1534
154	280	1529
155	281	1524
156	283	1520
157	284	1515
158	285	1511
159	287	1508
160	289	1507
161	290	1504
162	292	1502
163	294	1500
164	295	1497
165	297	1493
166	298	1490
167	300	1487
168	303	1494
169	305	1493
170	307	1491
171	309	1488
172	310	1486
173	312	1482
174	313	1479
175	315	1476
176	318	1481
177	320	1478
178	321	1474
179	323	1471
180	324	1468
181	325	1465
182	327	1461
183	329	1459
184	331	1460
185	333	1457
186	334	1455
187	336	1452
188	337	1449
189	339	1445
190	340	1442
191	342	1441
192	346	1449
193	348	1446
194	350	1445
195	351	1443
196	353	1441
197	357	1446
198	361	1456
199	363	1455
200	365	1453
201	367	1451
202	368	1448
203	370	1444
204	371	1440
205	372	1436
206	375	1436
207	376	1434
208	378	1431
209	379	1428
210	381	1425
211	382	1423
212	384	1420
213	385	1417
214	387	1414
215	390	1418
216	392	1415
217	393	1411
218	394	1408
219	396	1407
220	398	1404
221	399	1401
222	401	1398
223	403	1396
224	405	1397
225	407	1394
226	408	1391
227	410	1388
228	411	1386
229	413	1384
230	415	1381
231	416	1379
232	420	1383
233	421	1380
234	423	1377
235	424	1375
236	426	1372
237	427	1368
238	428	1364
239	429	1361
240	431	1358
241	434	1360
242	435	1356
243	436	1353
244	438	1351
245	440	1349
246	442	1347
247	443	1344
248	444	1340
249	445	1337
250	448	1338
251	449	1335
252	451	1332
253	452	1330
254	454	1326
255	455	1323
256	456	1320
257	457	1317
258	459	1313
259	461	1313
260	463	1311
261	465	1309
262	466	1308
263	468	1307
264	470	1305
265	472	1302
266	473	1300
267	478	1306
268	480	1304
269	481	1302
270	483	1299
271	485	1298
272	486	1296
273	490	1298
274	492	1299
275	494	1297
276	496	1295
277	498	1293
278	499	1291
279	501	1289
280	503	1288
281	507	1293
282	509	1290
283	511	1288
284	512	1286
285	514	1284
286	516	1283
287	518	1281
288	521	1283
289	523	1281
290	524	1278
291	526	1275
292	527	1273
293	529	1271
294	530	1268
295	532	1265
296	533	1263
297	536	1263
298	537	1260
299	538	1257
300	540	1254
301	541	1251
302	542	1248
303	544	1246
304	545	1243
305	547	1240
306	549	1241
307	551	1238
308	552	1236
309	554	1233
310	555	1231
311	557	1228
312	558	1226
313	560	1223
314	561	1221
315	564	1222
316	566	1219
317	567	1217
318	568	1214
319	570	1211
320	571	1209
321	572	1206
322	574	1203
323	575	1200
324	577	1200
325	579	1198
326	580	1195
327	582	1192
328	583	1190
329	584	1187
330	586	1184
331	587	1181
332	588	1179
333	589	1176
334	593	1177
335	594	1174
336	595	1172
337	596	1169
338	598	1167
339	599	1164
340	601	1161
341	602	1159
342	603	1156
343	605	1154
344	607	1154
345	609	1151
346	610	1148
347	611	1146
348	613	1143
349	614	1141
350	615	1138
351	617	1135
352	618	1133
353	620	1131
354	621	1129
355	623	1127
356	624	1125
357	626	1122
358	627	1120
359	628	1117
360	629	1115
361	631	1112
362	632	1110
363	636	1111
364	637	1109
365	639	1107
366	640	1105
367	642	1102
368	643	1100
369	644	1097
370	646	1095
371	647	1093
372	650	1093
373	652	1091
374	654	1090
375	655	1088
376	657	1085
377	658	1083
378	659	1081
379	661	1079
380	663	1077
381	665	1076
382	667	1074
383	668	1072
384	669	1069
385	670	1067
386	672	1064
387	673	1062
388	674	1059
389	676	1057
390	679	1058
391	680	1055
392	682	1053
393	683	1051
394	684	1048
395	685	1046
396	687	1043
397	688	1041
398	689	1039
399	693	1040
400	694	1037
401	696	1035
402	697	1033
403	698	1030
404	699	1028
405	701	1025
406	702	1023
407	703	1020
408	704	1018
409	707	1018
410	709	1017
411	711	1014
412	712	1012
413	713	1010
414	714	1007
415	716	1005
416	717	1003
417	719	1001
418	722	1001
419	723	999
420	725	997
421	726	995
422	728	993
423	729	990
424	730	988
425	732	986
426	733	984
427	737	985
428	739	984
429	741	982
430	743	981
431	745	980
432	746	978
433	748	976
434	751	976
435	753	974
436	754	972
437	756	970
438	757	967
439	758	965
440	759	963
441	761	960
442	762	958
443	763	956
444	766	956
445	768	954
446	769	952
447	771	950
448	772	947
449	773	945
450	774	943
451	776	940
452	777	938
453	780	938
454	781	936
455	783	934
456	784	932
457	785	929
458	787	927
459	788	925
460	789	923
461	790	921
462	792	919
463	795	919
464	797	917
465	798	915
466	799	912
467	801	910
468	802	908
469	803	906
470	804	904
471	806	901
472	810	902
473	811	900
474	813	899
475	814	897
476	816	894
477	817	892
478	818	890
479	820	888
480	821	886
481	824	886
482	826	884
483	827	882
484	829	880
485	830	878
486	832	876
487	833	874
488	835	873
489	839	873
490	841	871
491	842	869
492	843	867
493	845	865
494	846	863
495	848	861
496	849	860
497	851	858
498	854	858
499	856	856
500	857	854
501	859	852
502	860	850
503	862	848
504	864	847
505	866	845
506	867	843
507	869	841
508	870	839
509	872	837
510	873	835
511	875	834
512	876	832
513	880	832
514	882	830
515	883	829
516	885	827
517	887	825
518	888	823
519	890	821
520	891	819
521	895	819
522	896	817
523	897	815
524	899	813
525	901	812
526	902	810
527	904	808
528	906	806
529	908	805
530	910	804
531	912	802
532	914	801
533	915	799
534	917	797
535	919	795
536	920	793
537	924	794
538	926	792
539	928	790
540	930	789
541	931	787
542	933	785
543	935	783
544	936	781
545	939	781
546	940	779
547	942	777
548	943	775
549	945	773
550	946	771
551	948	769
552	950	768
553	954	768
554	956	766
555	958	765
556	959	763
557	961	761
558	963	760
559	967	759
560	969	758
561	971	756
562	972	754
563	974	753
564	976	751
565	977	749
566	979	747
567	982	747
568	984	746
569	989	746
570	991	745
571	993	743
572	998	743
573	999	741
574	1001	740
575	1002	738
576	1004	736
577	1006	734
578	1007	732
579	1012	733
580	1013	731
581	1015	729
582	1017	727
583	1019	725
584	1020	724
585	1022	722
586	1026	722
587	1028	720
588	1029	718
589	1031	716
590	1034	715
591	1036	714
592	1037	712
593	1042	712
594	1044	711
595	1046	709
596	1049	708
597	1052	707
598	1056	707
599	1057	705
600	1059	703
601	1061	701
602	1063	699
603	1064	698
604	1066	696
605	1070	696
606	1072	694
607	1074	692
608	1075	690
609	1077	688
610	1079	687
611	1080	685
612	1082	683
613	1085	682
614	1087	681
615	1089	679
616	1091	677
617	1094	676
618	1096	674
619	1097	672
620	1100	671
621	1102	669
622	1104	668
623	1105	666
624	1107	664
625	1108	662
626	1110	660
627	1112	658
628	1114	657
629	1116	655
630	1117	653
631	1118	651
632	1120	649
633	1121	647
634	1122	645
635	1124	643
636	1125	641
637	1128	640
638	1130	638
639	1131	636
640	1132	634
641	1134	632
642	1136	630
643	1137	628
644	1138	626
645	1140	624
646	1143	623
647	1144	621
648	1145	619
649	1147	617
650	1148	615
651	1149	613
652	1151	611
653	1153	610
654	1154	608
655	1157	607
656	1159	605
657	1161	603
658	1162	601
659	1163	599
660	1165	597
661	1166	595
662	1168	593
663	1169	591
664	1172	590
665	1174	588
666	1175	586
667	1177	585
668	1178	583
669	1180	581
670	1182	579
671	1183	577
672	1186	576
673	1188	574
674	1190	573
675	1192	571
676	1193	569
677	1195	567
678	1196	565
679	1199	564
680	1201	562
681	1202	560
682	1204	558
683	1205	557
684	1207	555
685	1209	553
686	1210	551
687	1214	550
688	1216	549
689	1218	547
690	1220	545
691	1221	543
692	1223	541
693	1224	540
694	1226	538
695	1227	536
696	1229	534
697	1231	532
698	1232	530
699	1234	528
700	1235	526
701	1236	525
702	1238	523
703	1241	521
704	1242	520
705	1244	518
706	1246	516
707	1248	514
708	1250	513
709	1251	511
710	1253	509
711	1256	508
712	1257	506
713	1259	504
714	1261	502
715	1262	500
716	1264	498
717	1266	497
718	1267	495
719	1271	494
720	1272	492
721	1274	490
722	1275	488
723	1277	486
724	1278	484
725	1279	483
726	1281	481
727	1282	479
728	1285	477
729	1287	476
730	1288	474
731	1290	472
732	1291	470
733	1293	468
734	1294	466
735	1296	464
736	1300	464
737	1302	462
738	1303	460
739	1305	458
740	1307	456
741	1309	455
742	1311	453
743	1315	452
744	1317	450
745	1318	449
746	1320	447
747	1322	445
748	1323	443
749	1325	441
750	1329	440
751	1330	438
752	1332	437
753	1333	435
754	1335	433
755	1337	431
756	1338	429
757	1339	427
758	1343	426
759	1345	424
760	1347	423
761	1348	421
762	1350	419
763	1351	417
764	1353	415
765	1354	413
766	1357	412
767	1359	410
768	1360	408
769	1362	406
770	1363	405
771	1365	403
772	1366	401
773	1368	399
774	1369	397
775	1373	396
776	1374	394
777	1376	392
778	1377	390
779	1378	388
780	1380	387
781	1383	385
782	1384	383
783	1388	382
784	1389	380
785	1390	378
786	1392	376
787	1393	374
788	1394	372
789	1396	371
790	1397	369
791	1398	367
792	1402	366
793	1403	364
794	1405	362
795	1406	360
796	1407	358
797	1409	356
798	1410	354
799	1412	353
800	1413	351
801	1417	350
802	1419	348
803	1420	346
804	1422	344
805	1423	342
806	1425	340
807	1426	339
808	1428	337
809	1431	335
810	1433	334
811	1435	332
812	1437	330
813	1439	328
814	1441	327
815	1443	325
816	1445	323
817	1447	321
818	1448	320
819	1449	318
820	1451	316
821	1452	314
822	1453	312
823	1454	310
824	1456	308
825	1460	307
826	1461	305
827	1462	303
828	1464	302
829	1465	300
830	1466	298
831	1468	296
832	1469	294
833	1470	292
834	1474	291
835	1476	289
836	1477	287
837	1479	285
838	1480	284
839	1481	282
840	1483	280
841	1484	278
842	1488	277
843	1490	275
844	1491	273
845	1493	271
846	1494	269
847	1495	268
848	1496	266
849	1498	264
850	1499	262
851	1503	261
852	1505	259
853	1506	257
854	1508	255
855	1509	253
856	1510	252
857	1512	250
858	1513	248
859	1514	246
860	1518	245
861	1520	243
862	1521	241
863	1523	239
864	1524	237
865	1526	236
866	1527	234
867	1528	232
868	1530	230
869	1532	228
870	1533	227
871	1534	225
872	1536	223
873	1537	221
874	1538	219
875	1540	217
876	1541	216
877	1542	214
878	1546	212
879	1547	211
880	1548	209
881	1550	207
882	1551	205
883	1552	203
884	1553	201
885	1555	200
886	1556	198
887	1557	196
888	1561	194
889	1562	193
890	1564	191
891	1565	189
892	1567	187
893	1568	185
894	1569	184
895	1571	182
896	1575	180
897	1577	179
898	1578	177
899	1580	175
900	1581	173
901	1582	171
902	1583	170
903	1585	168
904	1586	166
905	1590	164
906	1591	163
907	1592	161
908	1594	159
909	1595	157
910	1596	156
911	1598	154
912	1599	152
913	1600	150
914	1604	149
915	1605	147
916	1607	145
917	1608	143
918	1609	141
919	1610	140
920	1612	138
921	1613	136
922	1614	134
923	1616	132
924	1619	131
925	1620	129
926	1621	127
927	1623	125
928	1624	124
929	1625	122
930	1627	120
931	1628	118
932	1629	117
933	1631	115
934	1634	113
935	1635	111
936	1636	110
937	1638	108
938	1639	106
939	1640	104
940	1641	102
941	1643	101
942	1644	99
943	1648	97
944	1650	96
945	1651	94
946	1653	92
947	1654	90
948	1655	88
949	1657	87
950	1659	85
951	1660	83
952	1663	82
953	1664	80
954	1665	78
955	1667	76
956	1668	74
957	1670	73
958	1671	71
959	1672	69
960	1673	67
961	1677	66
962	1678	64
963	1679	62
964	1681	60
965	1682	59
966	1683	57
967	1685	55
968	1686	53
969	1687	52
970	1689	50
971	1692	48
972	1693	46
973	1694	45
974	1696	43
975	1697	41
976	1698	39
977	1700	38
978	1701	36
979	1702	34
980	1706	33
981	1707	31
982	1708	29
983	1710	27
984	1711	26
985	1713	24
986	1714	22
987	1715	20
988	1716	19
989	1718	17
990	1721	15
991	1722	13
992	1723	12
993	1725	10
994	1726	8
995	1727	6
996	1729	5
997	1730	3
998	1731	1
999	1735	0
